rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
=140,Uppsala University,24749,13.3,17,60,62.8,43.9,55.0,81.3,97.7,74.7,"Olofsgatan Road, P.O. Box 256, Uppsala, Uppland Province, SE-751 05, Sweden",,,,,
=143,University of Lausanne,14478,10.5,23,,62.7,41.7,46.3,87.3,99.5,90.4,"Batiment Geopolis, Lausanne, Vaud, 1015, Switzerland",,,,,
=143,The University of Western Australia,19382,22.4,26,50,62.7,37.7,48.6,88.7,97.2,93.5,,,,,,
=145,University of Pittsburgh-Pittsburgh campus,26305,5.4,10,56,62.5,49.1,46.1,92.4,76.1,50.9,"4200 Fifth Avenue, Pittsburgh, Pennsylvania, 15260, United States",,,,,
=145,Sungkyunkwan University (SKKU),23402,19.4,19,,62.5,55.5,54.2,72.9,98.8,61.3,"25-2 Sungkyunkwan-Ro, Jongno-gu, Seoul, 561-758, South Korea",,,,,
147,University of York,19505,16.1,31,56,62.4,42.4,44.8,90.8,66.9,93.1,"Heslington, Heslington, York, YO10 5DD, United Kingdom",,,,,
148,University of Technology Sydney,28223,37.4,25,50,62.3,36.2,43.3,95.9,78.9,94.3,,,,,,
149,Pohang University of Science and Technology (POSTECH),3300,10.5,5,,62.2,58.1,51.5,77.2,100.0,40.0,"77 Cheongam-Ro, Nam-Gu, Pohang, Gyeongbuk, 790-784, South Korea",,,,,
=150,University of Auckland,35663,24.4,31,57,62.0,39.7,45.7,88.3,95.8,89.9,"Private Bag 92019, Auckland, 1142, New Zealand",,,,,
=150,Sichuan University,49117,15.9,5,,62.0,59.1,57.3,69.3,93.2,46.1,"No.24 South Section 1, Yihuan Road, Chengdu, Sichuan, 610065, China",,,,,
=152,University of Barcelona,44365,15.3,11,64,61.9,42.4,47.3,91.4,83.9,65.2,"Gr. Via de les Corts Catalanes, 585, Barcelona, 08007, Spain",,,,,
=152,National Taiwan University (NTU),24744,11.1,13,41,61.9,57.3,54.8,70.8,99.9,51.2,"No 1, Section 4, Roosevelt Rd, Daan District, Taipei City, Taipei, 10617, Taiwan",,,,,
=152,Université Paris Cité,61690,16.9,18,66,61.9,47.9,42.7,90.6,68.3,73.2,"85 boulevard Saint-Germain, cedex 06, Paris, Ile-de-France, 75006, France",,,,,
=155,University of Arizona,45517,19.9,7,56,61.8,48.7,51.3,85.7,84.0,47.0,"Tucson, Arizona, 85721, United States",,,,,
=155,University of Bologna,74105,24.7,11,57,61.8,53.0,44.6,86.5,79.4,54.3,"Via Zamboni 33, Bologna, Emilia Romagna region, 40126, Italy",,,,,
=155,Lancaster University,15385,13.9,38,51,61.8,40.2,40.7,93.9,66.6,96.8,"Bailrigg, Lancaster, Lancashire, LA1 4YW, United Kingdom",,,,,
=158,Huazhong University of Science and Technology,57663,15.5,4,,61.7,48.8,48.1,90.0,96.9,32.9,"1037 Luoyu Road, Hongshan District, Wuhan City, Hubei Province, 430074, China",,,,,
=158,University of Waterloo,36904,24.2,23,47,61.7,42.2,49.3,83.7,78.3,89.3,,,,,,
160,University of Cologne,31299,28.7,17,,61.5,42.9,47.1,85.6,98.8,73.3,"Albertus-Magnus-Platz, Bldg. no. 100, Cologne, North Rhine-Westphalia, D-50923, Germany",,,,,
=161,University of Antwerp,16168,31.8,17,56,61.4,38.2,44.4,92.5,98.4,74.7,"Prinsstraat 13, Antwerpen, Flanders Region, 2000, Belgium",,,,,
=161,Dartmouth College,6226,7.4,16,49,61.4,57.3,40.7,84.7,68.4,60.2,"Hanover, New Hampshire, 03755, United States",,,,,
=161,TU Dresden,29719,29.4,17,45,61.4,46.6,51.1,79.3,99.7,67.9,"Mommsenstr. 6, Fritz-Foerster-Bau, Dresden, Saxony, 01069, Germany",,,,,
=164,Case Western Reserve University,10294,8.8,25,51,61.3,51.7,40.2,88.7,71.4,65.0,"10900 Euclid Avenue, Cleveland, Ohio, 44106, United States",,,,,
=164,Wuhan University,56066,15.0,5,,61.3,50.9,45.0,88.5,90.6,41.0,"Luojiashan Road, Wuchang District, Wuhan, Hubei, 430072, China",,,,,
